Dataset Name,Image Name,Characteristics [Organism],Characteristics [Strain],Characteristics [Mating Type],Characteristics [Genotype],Experimental Condition [Treatment],Experimental Condition [Experimental Genotype],Comment [Gene Annotation Comments],Comment [Image File Type],Channels,Comment [Gene Symbol 1],Comment [Gene Symbol 2],Comment [Gene Identifier 1],Comment [Gene Identifier 2]
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos0,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,0uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos1,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,0uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos2,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,0uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos3,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,0uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos4,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,0uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos5,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,3nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos6,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,3nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos7,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,3nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos8,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,3nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos9,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,3nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos10,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,10nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos11,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,10nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos12,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,10nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos13,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,10nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos14,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,10nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos15,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,20nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos16,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,20nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos17,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,20nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos18,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,20nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos19,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,20nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos20,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,50nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos21,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,50nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos22,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,50nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos23,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,50nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos24,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,50nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos25,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,100nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos26,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,100nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos27,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,100nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W
